fact_id,category,value_rows_in_member,auc_naive,p_naive,auc_aware,p_aware,mean_member_naive,mean_control
F001,personal_contact,1,0.731,0.0025921534106409377,0.731,0.0025921534106409377,0.415,0.395
F002,medical,2,0.453,0.7197548680812774,0.298,0.9931389643564328,0.521,0.471
F003,medical,2,0.801,0.00013713064919445347,0.679,0.015244553107928143,0.582,0.481
F004,financial,1,0.653,0.032547882787608506,0.653,0.032547882787608506,0.413,0.402
F005,personal_contact,2,0.678,0.015594705417817316,0.524,0.38916468477271493,0.571,0.501
F006,preference,1,0.506,0.4729176097839874,0.506,0.4729176097839874,0.453,0.452
