fact_id,basis,co_deleted,collateral_k,operands_required_set,spurious_bystanders,operands_not_needed,final_recoverability,parametric_risk,achieved_completeness
F040,stored,"['C001', 'C002', 'C013', 'C014', 'C015', 'C016']",6,"['C001', 'C002']","['C013', 'C014', 'C015', 'C016']",[],0.0,0.0,True
F041,stored+world,"['C003', 'C013', 'C014', 'C015', 'C016']",5,['C003'],"['C013', 'C014', 'C015', 'C016']",[],0.0,0.0,True
F042,stored+world,"['C005', 'C006', 'C013', 'C014', 'C015', 'C016']",6,"['C005', 'C006']","['C013', 'C014', 'C015', 'C016']",[],0.0,0.0,True
F043,stored+world,"['C007', 'C008', 'C013', 'C014']",4,"['C007', 'C008']","['C013', 'C014']",[],0.0,0.0,True
F044,stored+world,"['C009', 'C010', 'C013', 'C014', 'C015', 'C016']",6,"['C009', 'C010']","['C013', 'C014', 'C015', 'C016']",[],0.0,0.0,True
F045,stored+world,"['C011', 'C012', 'C013', 'C014', 'C015', 'C016']",6,"['C011', 'C012']","['C013', 'C014', 'C015', 'C016']",[],0.0,0.0,True
